日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20250829,コニカミノルタ,4902,電気機器,0.0261%,TOPIX Mid400
20250829,資生堂,4911,化学,0.1073%,TOPIX Large70
20250829,ライオン,4912,化学,0.0415%,TOPIX Mid400
20250829,高砂香料工業,4914,化学,0.0132%,TOPIX Small 2
20250829,マンダム,4917,化学,0.0065%,TOPIX Small 1
20250829,ミルボン,4919,化学,0.0092%,TOPIX Small 1
20250829,コーセー,4922,化学,0.0296%,TOPIX Mid400
20250829,コタ,4923,化学,0.0032%,TOPIX Small 2
20250829,ポーラ・オルビスホールディングス,4927,化学,0.0152%,TOPIX Mid400
20250829,ノエビアホールディングス,4928,化学,0.0094%,TOPIX Small 1
20250829,新日本製薬,4931,化学,0.0032%,TOPIX Small 2
20250829,Ｉ－ｎｅ,4933,化学,0.0010%,TOPIX Small 2
20250829,アクシージア,4936,化学,0.0007%,TOPIX Small 2
20250829,エステー,4951,化学,0.0025%,TOPIX Small 2
20250829,コニシ,4956,化学,0.0094%,TOPIX Small 2
20250829,長谷川香料,4958,化学,0.0131%,TOPIX Small 1
20250829,小林製薬,4967,化学,0.0321%,TOPIX Mid400
20250829,荒川化学工業,4968,化学,0.0024%,TOPIX Small 2
20250829,メック,4971,化学,0.0052%,TOPIX Small 1
20250829,日本高純度化学,4973,化学,0.0018%,TOPIX Small 2
20250829,タカラバイオ,4974,化学,0.0066%,TOPIX Small 1
20250829,ＪＣＵ,4975,化学,0.0107%,TOPIX Small 1
20250829,ＯＡＴアグリオ,4979,化学,0.0020%,TOPIX Small 2
20250829,デクセリアルズ,4980,化学,0.0397%,TOPIX Mid400
20250829,アース製薬,4985,化学,0.0109%,TOPIX Small 1
20250829,北興化学工業,4992,化学,0.0027%,TOPIX Small 2
20250829,大成ラミックグループ,4994,化学,0.0017%,TOPIX Small 2
20250829,クミアイ化学工業,4996,化学,0.0086%,TOPIX Small 1
